title,author,preview
개미들 코스피 상승에 베팅?…레버리지에 돈 몰려,뉴시스,"최근 코스피 시장이 미국과 중국 등 대외 환경 영향으로 2500선까지 밀린 가운데, 개인투자자들은 지수 상승에 베팅해 레버리지  …"
"與 ""알뜰교통카드 대신 'K패스' 도입…연 최대 21만원 환급""",이데일리,국민의힘이 22일 연간 최대 21만원가량을 환급 받을 수 있는 지하철·버스 통합 정기권 ‘K패스’ 도입을 추진한다. 정부는 내년 …
"대전 신협 강도 용의자, 베트남 도피…경찰, 인터폴 공조 요청(종합)",뉴시스,대전 서구에서 은행 강도를 벌인 용의자가 베트남으로 도피해 경찰이 추적에 나섰다. 22일 대전경찰청에 따르면 경찰은 지난 20일 …
[포토]환영사하는 노재헌 동아시아문화센터 원장,이데일리,노재헌 동아시아문화센터 원장이 22일 서울 중구 소공동 더플라자호텔에서 열린 '2023 동아시아미래포럼'에서 환영사를 하고 있다 …
카자흐스탄 알마티서 24~25일 '부산 국악 공연',뉴시스,부산시와 카자흐스탄 알마티의 우호 협력 도시 체결 1주년을 기념하는 국악 공연이 오는 24~25일 알마티 현지에서 열린다. 부산 …
"또다시 드리우는 美비극...시애틀 술집서 총격전 ""20·30대 3명 사망""",파이낸셜뉴스,미 워싱턴주 시애틀 남부 지역의 한 술집에서 돌발 총격사건이 발생한 가운데 젊은 20~30대 3명이 사망했다. 21일(현지시간) …
[포토]동아시아미래포럼에서 환영사하는 노재헌 동아시아문화센터 원장,이데일리,노재헌 동아시아문화센터 원장이 22일 서울 중구 소공동 더플라자호텔에서 열린 '2023 동아시아미래포럼'에서 환영사를 하고 있다 …
Red Sox Astros Baseball,AP연합뉴스,Houston Astros starting pitcher Cristian Javier throws against the Bost …
'美 대선 뒤집기'로 기소된 트럼프 보석금 2억여원 내기로 합의,뉴시스,2020년 미국 대선 뒤집기 시도 혐의로 재판에 회부된 도널드 트럼프 전 대통령의 보석금이 20만 달러(약 2억 6830만원)로 …
제11회 부산국제코미디페스티벌(BICF) 25일 개막…열흘간 웃음 폭발,경향신문,부산시와 부산국제코미디페스티벌조직위원회는 25일 부산 영화의전당에서 ‘제11회 부산국제코미디페스티벌’을 개최한다고 22일 밝혔다 …
"경남정보대, 몽골 현지서 정주형 유학생 유치 나서",파이낸셜뉴스,"경남정보대학교가 지역 기업과 함께, 국내 취업까지 보장하는 정주형 유학생 유치에 나섰다. 경남정보대 김대식 총장은 지난 20일부 …"
잇따른 ‘강제징용 판결금’ 제3자 변제 거부…법원 “반대 의사 명확” [사건수첩],세계일보,"전주·광주지법 이어 수원지법 ‘판결’ 法 “유족 명백한 반대 의사 있으면, 제3자 변제 허용하지 않을 수 있어” 시민단체 “변제 …"
10대 아들 보는 앞에서… 이주여성 아내 살해한 남편 징역 15년,서울신문,자신을 타박하는 것에 화가 난 60대 남성이 15년을 함께 산 이주여성 아내를 살해해 중형을 선고받았다. 울산지법 형사11부(부 …
"'솔루엠' 52주 신고가 경신, 목표주가 상향 요건이 충족되었다 - DS투자증권, BUY",한국경제,"◆ 최근 애널리스트 분석의견 - 목표주가 상향 요건이 충족되었다 - DS투자증권, BUY 08월 11일 DS투자증권의 권태우 애 …"
"핸드메이드 마켓 아이디어스, 운영 정책 강화…판매 기준 개정",매일경제,제작 과정 허위 기재 및 사입 제품 등 부적합 상품 판매 시 처벌 위반 적발 시 해당 상품 구매자에게 대금 전액 반환 및 퇴점  …
농어촌상생기금·어촌 상생발전·ESG 활성화를 위한 협력 도모,한국일보,대‧중소기업‧농어업협력재단(이하 협력재단)은 21일 서울 중구 협력재단에서 한국어촌어항공단과 ‘어촌 상생발 …
[포토]2023 동아시아미래포럼에서 환영사하는 노재헌 동아시아문화센터 원장,이데일리,노재헌 동아시아문화센터 원장이 22일 서울 중구 소공동 더플라자호텔에서 열린 '2023 동아시아미래포럼'에서 환영사를 하고 있다 …
울산대 최정우 교수 대한민국공공디자인 대상 수상,국제신문,울산대학교는 건축학부 최정우(사진) 교수와 ㈜건축사사무소 유니트에이가 공동 제안한 ‘북아현동 경사형 엘리베이터 설치사업’이 ‘2 …
"네오팜, 사회 취약계층 여성에 3억2000만원 상당 물품 기부",데일리안,네오팜은 최근 서울 사랑의 열매를 통해 서울시 취약계층 여성들에게 3억2000만원 상당의 건강기능식품과 화장품을 전달했다고 22 …
"카카오모빌리티, 화물 기사용 앱 '카카오T트러커' 사전 등록 시작",서울경제,카카오(035720)모빌리티는 운송 업무 효율화를 지원하는 화물 기사용 애플리케이션 ‘카카오 T 트럭커’의 사전 등록자를 모집한 …
